# الفئة|الصعوبة (1-3، F = مناسب للمواجهة)|السؤال|الإجابة|خطأ1;خطأ2;خطأ3
science|1|كم عدد أرجل العنكبوت؟|ثمانٍ|ست;عشر;اثنتا عشرة
science|1|ما الكوكب الملقّب بالكوكب الأحمر؟|المريخ|الزهرة;المشتري;عطارد
science|1|ما أكبر عضو في جسم الإنسان؟|الجلد|الكبد;الدماغ;الرئتان
science|1|عند أي درجة مئوية يغلي الماء عند مستوى سطح البحر؟|100|90;110;80
science|1|ما الكوكب الأقرب إلى الشمس؟|عطارد|الزهرة;المريخ;الأرض
science|1|ما الغاز الذي تمتصه النباتات من الهواء لصنع غذائها؟|ثاني أكسيد الكربون|الأكسجين;النيتروجين;الهيليوم
science|2|ما الرمز الكيميائي للذهب؟|Au|Ag;Go;Gd
science|2|كم عدد عظام جسم الإنسان البالغ؟|206|186;212;306
science|2|ما أكبر كوكب في المجموعة الشمسية؟|المشتري|زحل;نبتون;أورانوس
science|2F|ما الغاز الأكثر وفرة في الغلاف الجوي للأرض؟|النيتروجين|الأكسجين;ثاني أكسيد الكربون;الأرجون
science|2|ما العضو الذي يضخ الدم في الجسم؟|القلب|الكبد;الكليتان;الرئتان
science|2|ما الحيوان الثديي الوحيد القادر على الطيران الحقيقي؟|الخفاش|السنجاب الطائر;البطريق;النعامة
science|2|ما الفيتامين الذي يصنعه الجسم عند التعرض لأشعة الشمس؟|فيتامين د|فيتامين ج;فيتامين أ;فيتامين ب12
science|2F|ما أطول حيوان في العالم؟|الزرافة|الفيل;النعامة;الجمل
science|2|ماذا يسمى صغير الأسد؟|شبل|جرو;حوار;مهر
science|2|ماذا يسمى صغير الناقة؟|حُوار|مهر;عجل;حمل
science|2|ما أصلب مادة طبيعية؟|الألماس|الكوارتز;الغرانيت;الحديد
science|2|كم عدد أسنان الإنسان البالغ عادة؟|32|28;30;36
science|3|ما العدد الذري للكربون؟|6|8;12;4
science|3F|ما العنصر الذي رمزه الكيميائي Fe؟|الحديد|الفلور;الرصاص;القصدير
science|3|من العالِم الذي اكتشف البنسلين عام 1928؟|ألكسندر فليمنغ|لويس باستير;ماري كوري;جوزيف ليستر
science|3|ما الكوكب الذي يملك أوضح نظام حلقات؟|زحل|المشتري;أورانوس;نبتون
science|3F|ما اسم المجرة التي تنتمي إليها مجموعتنا الشمسية؟|درب التبانة|أندروميدا;الدوامة;المثلث
science|3|ما الجزء من الخلية الذي يسمى مصنع الطاقة؟|الميتوكوندريا|النواة;الريبوسوم;جهاز غولجي
science|3|ما الرمز الكيميائي للصوديوم؟|Na|So;Sd;S
science|2|من صاحب النظرية النسبية؟|ألبرت أينشتاين|إسحاق نيوتن;نيلز بور;غاليليو غاليلي
science|1|ما الحيوان الملقّب بسفينة الصحراء؟|الجمل|الحصان;الفيل;الحمار
science|2|ماذا يسمى بيت النحل؟|الخلية|العش;الجحر;الوكر
science|3|كم قلبًا للأخطبوط؟|ثلاثة|واحد;اثنان;أربعة
history|1|في أي مدينة وُلد النبي محمد صلى الله عليه وسلم؟|مكة المكرمة|المدينة المنورة;الطائف;القدس
history|1|من أول رائد فضاء عربي مسلم؟|الأمير سلطان بن سلمان|محمد فارس;هزاع المنصوري;سلطان النيادي
history|2|في أي عام انتهت الحرب العالمية الثانية؟|1945|1944;1946;1939
history|2|من أول إنسان مشى على سطح القمر؟|نيل أرمسترونغ|باز ألدرين;يوري غاغارين;مايكل كولينز
history|2F|من القائد المسلم الذي حرر القدس عام 1187؟|صلاح الدين الأيوبي|نور الدين زنكي;قطز;الظاهر بيبرس
history|2|من القائد الذي فتح الأندلس عام 711؟|طارق بن زياد|موسى بن نصير;عقبة بن نافع;عبد الرحمن الداخل
history|2|من بنى الأهرامات في الجيزة؟|المصريون القدماء|الرومان;الإغريق;الفرس
history|2|في أي عام سقط جدار برلين؟|1989|1991;1987;1985
history|2F|من مؤسس المملكة العربية السعودية الحديثة؟|الملك عبدالعزيز آل سعود|الملك فيصل;الملك سعود;الملك خالد
history|2|في أي عام غرقت سفينة تايتانيك؟|1912|1905;1915;1920
history|2|ما عاصمة الدولة العباسية التي بناها أبو جعفر المنصور؟|بغداد|دمشق;القاهرة;سامراء
history|2|ما عاصمة الدولة الأموية؟|دمشق|بغداد;القاهرة;قرطبة
history|3|من فتح القسطنطينية عام 1453؟|السلطان محمد الفاتح|سليمان القانوني;سليم الأول;أورخان الأول
history|3F|في أي عام قامت دولة الإمارات العربية المتحدة؟|1971|1968;1975;1961
history|3|من أول رئيس للولايات المتحدة الأمريكية؟|جورج واشنطن|أبراهام لينكولن;توماس جيفرسون;جون آدامز
history|3|في أي عام بدأت الثورة الفرنسية؟|1789|1776;1799;1812
history|3|ما اسم المعركة التي انتصر فيها المسلمون على المغول عام 1260؟|عين جالوت|حطين;اليرموك;القادسية
history|3F|من أول من طاف حول العالم ببعثته البحرية؟|فرديناند ماجلان|فاسكو دا غاما;كريستوفر كولومبوس;جيمس كوك
history|2|ما الحضارة التي اخترعت الكتابة المسمارية؟|السومريون|الفراعنة;الفينيقيون;الإغريق
history|2|ما الحضارة التي يُنسب إليها أول أبجدية صوتية؟|الفينيقيون|الرومان;الآشوريون;البابليون
history|3|من أول امرأة حصلت على جائزة نوبل؟|ماري كوري|فلورنس نايتنغيل;روزاليند فرانكلين;هيلين كيلر
history|3|في أي عام افتُتحت قناة السويس؟|1869|1882;1856;1900
history|2|من هو الرحالة المغربي صاحب كتاب تحفة النظار؟|ابن بطوطة|ابن خلدون;الإدريسي;ابن جبير
history|3F|من مؤلف كتاب المقدمة في علم الاجتماع والتاريخ؟|ابن خلدون|ابن رشد;ابن سينا;الفارابي
arts|1|من الشاعر الملقّب بأمير الشعراء؟|أحمد شوقي|حافظ إبراهيم;المتنبي;نزار قباني
arts|1|من الأديب المصري الحائز على جائزة نوبل في الأدب عام 1988؟|نجيب محفوظ|طه حسين;توفيق الحكيم;يوسف إدريس
arts|2|من المطربة الملقّبة بكوكب الشرق؟|أم كلثوم|فيروز;وردة الجزائرية;أسمهان
arts|2|من كتب مسرحية روميو وجولييت؟|وليم شكسبير|تشارلز ديكنز;جين أوستن;موليير
arts|2F|من رسم لوحة الموناليزا؟|ليوناردو دا فينشي|مايكل أنجلو;فان غوخ;بيكاسو
arts|2|من الشاعر العباسي صاحب البيت: الخيل والليل والبيداء تعرفني؟|المتنبي|أبو تمام;البحتري;أبو نواس
arts|2|من عميد الأدب العربي؟|طه حسين|العقاد;المنفلوطي;جبران خليل جبران
arts|2|من مؤلف كتاب النبي الشهير؟|جبران خليل جبران|ميخائيل نعيمة;إيليا أبو ماضي;أمين الريحاني
arts|2|من المطربة اللبنانية الملقّبة بسفيرتنا إلى النجوم؟|فيروز|صباح;ماجدة الرومي;نجوى كرم
arts|2F|ما الآلة الموسيقية الملقّبة بسلطان الآلات الشرقية؟|العود|القانون;الناي;الكمان
arts|3|من مؤلف رواية موسم الهجرة إلى الشمال؟|الطيب صالح|عبد الرحمن منيف;غسان كنفاني;حنا مينه
arts|3F|من الشاعر الجاهلي صاحب المعلقة التي مطلعها: قفا نبكِ من ذكرى حبيب ومنزلِ؟|امرؤ القيس|عنترة بن شداد;زهير بن أبي سلمى;طرفة بن العبد
arts|3|من كتب رواية البؤساء؟|فيكتور هوغو|ألكسندر دوما;إميل زولا;غوستاف فلوبير
arts|3|من ألّف ثلاثية القاهرة: بين القصرين وقصر الشوق والسكرية؟|نجيب محفوظ|يوسف السباعي;إحسان عبد القدوس;طه حسين
arts|3|من الفنان الذي رسم لوحة ليلة النجوم؟|فينسنت فان غوخ|كلود مونيه;بابلو بيكاسو;سلفادور دالي
arts|2|ما اسم الخط العربي الأكثر استخدامًا في الكتابة اليومية؟|خط الرقعة|الخط الكوفي;خط الثلث;الخط الديواني
arts|3F|من الشاعر الذي لُقّب بشاعر النيل؟|حافظ إبراهيم|أحمد شوقي;خليل مطران;محمود سامي البارودي
arts|2|من مؤلف قصص شارلوك هولمز؟|آرثر كونان دويل|أغاثا كريستي;تشارلز ديكنز;إدغار آلان بو
arts|1|كم عدد الموسيقيين في الرباعي الموسيقي؟|أربعة|ثلاثة;خمسة;ستة
arts|3|من ألّف كتاب كليلة ودمنة بالعربية نقلًا عن الفارسية؟|ابن المقفع|الجاحظ;الأصفهاني;ابن قتيبة
arts|3|من مؤلف كتاب البخلاء؟|الجاحظ|ابن المقفع;الأصفهاني;التوحيدي
sport|1|كم عدد لاعبي فريق كرة القدم داخل الملعب؟|أحد عشر|عشرة;تسعة;اثنا عشر
sport|1|كم عدد الحلقات في العلم الأولمبي؟|خمس|أربع;ست;سبع
sport|2|أي دولة استضافت كأس العالم لكرة القدم 2022؟|قطر|السعودية;الإمارات;روسيا
sport|2|كل كم سنة تقام الألعاب الأولمبية الصيفية عادة؟|كل أربع سنوات|كل سنتين;كل ثلاث سنوات;كل خمس سنوات
sport|2F|أي منتخب فاز بأول كأس عالم لكرة القدم عام 1930؟|الأوروغواي|البرازيل;الأرجنتين;إيطاليا
sport|2|في أي رياضة تستخدم الريشة؟|الريشة الطائرة (البادمنتون)|الاسكواش;تنس الطاولة;التنس
sport|2|كم تبلغ مسافة سباق الماراثون تقريبًا؟|42 كيلومترًا|40 كيلومترًا;45 كيلومترًا;50 كيلومترًا
sport|2|أي منتخب عربي وصل إلى نصف نهائي كأس العالم 2022؟|المغرب|تونس;السعودية;قطر
sport|2|كم عدد لاعبي فريق كرة السلة داخل الملعب؟|خمسة|ستة;سبعة;أربعة
sport|2F|كم عدد مربعات رقعة الشطرنج؟|64|48;72;81
sport|2|كم عدد لاعبي فريق الكرة الطائرة داخل الملعب؟|ستة|خمسة;سبعة;ثمانية
sport|3|في أي مدينة أقيمت الألعاب الأولمبية الصيفية 2012؟|لندن|بكين;ريو دي جانيرو;أثينا
sport|3|أي منتخب فاز بكأس العالم 2022؟|الأرجنتين|فرنسا;البرازيل;كرواتيا
sport|3F|في أي بلد نشأت رياضة الجودو؟|اليابان|الصين;كوريا;تايلاند
sport|3|كم دقيقة مدة مباراة كرة القدم الأساسية دون الوقت بدل الضائع؟|90|80;100;120
sport|3|ما البطولة التي تقام على ملاعب العشب في نادي عموم إنجلترا؟|ويمبلدون|بطولة أمريكا المفتوحة;رولان غاروس;بطولة أستراليا المفتوحة
sport|2|في أي رياضة يستخدم مصطلح ضربة الجزاء الترجيحية؟|كرة القدم|كرة السلة;التنس;الغولف
sport|1|ما الرياضة التي يُستخدم فيها المضرب والشبكة والكرة الصفراء غالبًا؟|التنس|كرة القدم;السباحة;الملاكمة
sport|3|كم حفرة تُلعب في جولة الغولف القياسية؟|18|9;12;21
sport|2|في أي رياضة يُسجَّل هدف بواسطة الرمية الحرة من خط العقوبة؟|كرة السلة|كرة اليد;كرة القدم;الهوكي
general|1|كم عدد أيام السنة الكبيسة؟|366|365;364;367
general|1|ما اللون الناتج عن مزج الأزرق والأصفر؟|الأخضر|البنفسجي;البرتقالي;البني
general|1|كم عدد ساعات اليوم؟|24|12;20;48
general|1|كم عدد أضلاع المثلث؟|ثلاثة|أربعة;خمسة;ستة
general|1|ما الشهر الهجري الذي يصوم فيه المسلمون؟|رمضان|شعبان;شوال;محرم
general|1|كم عدد الشهور الهجرية؟|اثنا عشر|عشرة;أحد عشر;ثلاثة عشر
general|2|ما أول شهر في التقويم الهجري؟|محرم|صفر;رمضان;ربيع الأول
general|2|كم عدد دقائق اليوم الواحد؟|1440|1240;1400;1640
general|2|ما حاصل ضرب 12 في 12؟|144|124;132;156
general|2F|كم عدد أضلاع الشكل السداسي؟|ستة|خمسة;سبعة;ثمانية
general|2|ما الجذر التربيعي للعدد 81؟|9|8;7;11
general|2|كم عدد أسابيع السنة تقريبًا؟|52|48;50;56
general|2|كم عدد حروف اللغة العربية؟|28|26;29;30
general|2|ماذا يسمى صوت الأسد؟|الزئير|النهيق;الصهيل;العواء
general|2F|كم عدد الأصفار في المليون؟|ستة|خمسة;سبعة;تسعة
general|2|ما أطول عظمة في جسم الإنسان؟|عظمة الفخذ|عظمة الساق;عظمة العضد;العمود الفقري
general|3|كم ثانية في الساعة الواحدة؟|3600|360;6000;36000
general|3|ما نسبة 15% من 200؟|30|15;20;35
general|3F|كم درجة في الزاوية القائمة؟|90|45;180;360
general|3|ما اللغة الأكثر انتشارًا كلغة أم في العالم؟|الصينية الماندرينية|الإنجليزية;الإسبانية;الهندية
general|3|ما الرقم الروماني الذي يرمز إلى 50؟|L|C;D;X
general|2|كم عدد ألوان قوس قزح؟|سبعة|ستة;خمسة;ثمانية
general|3F|ما أكبر عدد يمكن كتابته برقمين؟|99|98;100;90
general|1|ماذا نسمي الماء المتجمد؟|الجليد|البخار;الندى;الضباب
general|2|ما جمع كلمة كتاب؟|كُتُب|كتابات;أكتاب;كتائب
general|2|ما ضد كلمة الشجاعة؟|الجُبن|الكرم;الحلم;الصبر
general|3|ما الحيوان الذي يُضرب به المثل في الوفاء؟|الكلب|القط;الحصان;الجمل
general|3|ما مفرد كلمة أنامل؟|أُنمُلة|أنمل;نملة;أمل
general|2|ما عملة المملكة المتحدة؟|الجنيه الإسترليني|اليورو;الدولار;الفرنك
science|2|ما الكوكب المشهور بالبقعة الحمراء العظيمة؟|المشتري|المريخ;زحل;نبتون
places|2|ما أطول نهر في أمريكا الجنوبية؟|نهر الأمازون|نهر بارانا;نهر أورينوكو;نهر ماغدالينا
arts|2|من صاحب رواية الحرب والسلام؟|ليو تولستوي|فيودور دوستويفسكي;أنطون تشيخوف;إيفان تورغينيف
history|2|في أي عام بدأ التقويم الهجري بهجرة النبي إلى المدينة؟|622 ميلادية|610 ميلادية;632 ميلادية;570 ميلادية
places|3|ما أعلى قمة جبلية في أفريقيا؟|كليمنجارو|جبل كينيا;جبل طوبقال;جبال رونزوري
science|3|ما سرعة الضوء تقريبًا؟|300 ألف كيلومتر في الثانية|150 ألف كيلومتر في الثانية;30 ألف كيلومتر في الثانية;3 ملايين كيلومتر في الثانية
